,,,,,,,,,*คำนวณ โดยหารจำนวนเดือนที่มียอดขาย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Oct 25- Mar 26,,,Total (Oct25-Mar26),,Q4Y25,,Q1Y26,,,12,13,14,15,16,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,,,,,,,,
,FlavorCode,Flavor Description,Flavor,Size,Category,Net Value 6M,GP%,GP amount,AVE QTY,AVE Amount,AVE QTY,AVE Amount,AVE QTY,AVE Amount,Class 2026 Mar,Class 2025 Feb,Class 2024 Jul,Class 2024 Feb,Class 2023 Jul,Class 2023 , FG (Days) , RM (% of Rolling next Month) , CTN/Batch , Minimum Production ," AVG
Act Batch  ", Batch size , Max batch/lot , MOQ require 4 batch (Ctn) , MOQ require 3 batch (Ctn) , MOQ require 2 batch (Ctn) ," CVM
MOQ
FG ", Remark , Supplier PKG , LT PKG , MOQ (PM) ชิ้น , Box/ ctn , MOQ (PM) ลัง ," Price/
pcs "," Shelf Life
PKG (M) "," CVM
MOQ
PKG ", FC ACC Y2025 ,,,,,,,
,1ADPE030000,Coconut water 24x320ML PET,Coconut--320ml,320ml,FJ 100%,"235,345",0.593,"139,580",680,"235,345", -   , -   ,680,"235,345", NPD , NPD , -   , -   , -   , -   ,15,0%,"2,059","4,117",2,"17,000", -   ,"8,234","6,176","4,117",6.1, -   , -   ,4,"100,000",24,"4,167", -   ,4,6.1,0%,,,,,,,
,TA0B405A000,LycheeVitBZincNata TipcoChewy--300ml ,LycheeVitBZincNata TipcoChewy--300ml ,300ml,Tipco Chewy,"119,963",0, -   ,238,"39,988",238,"39,988", -   , -   , Discon , Watching , NPD , NPD , -   , -   ,0,0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,,,,,,,
,TA0B406A000,CoconutVtBZincNata TipcoChewy--300ml ,CoconutVtBZincNata TipcoChewy--300ml ,300ml,Tipco Chewy,"95,970",0, -   ,191,"31,990",191,"31,990", -   , -   , Discon , Watching , NPD , NPD , -   , -   ,0,0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,,,,,,,
,TA0B408A000,StrawbryVBZincNata TipcoChewy--300ml ,StrawbryVBZincNata TipcoChewy--300ml ,300ml,Tipco Chewy,"55,510",0.305,"16,951",156,"13,877",100,"5,593",325,"38,732", Discon , Watching , NPD , NPD , -   , -   ,0,0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,,,,,,,
,TA0B409A000,AppleVtBZincNata TipcoChewy--300ml ,AppleVtBZincNata TipcoChewy--300ml ,300ml,Tipco Chewy,"33,556",0.266,"8,942",90,"11,185",60,"8,389",150,"16,778", Discon , Watching , NPD , NPD , -   , -   ,0,0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,,,,,,,
,TA0B407A000,GrapeVitBZincNata TipcoChewy--300ml ,GrapeVitBZincNata TipcoChewy--300ml ,300ml,Tipco Chewy,"1,342",0, -   ,103,447,103,447, -   , -   , Discon , Watching , NPD , NPD , -   , -   ,0,0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,,,,,,,
,TA0B404A000,OrangeVitBZincNata TipcoChewy--300ml ,OrangeVitBZincNata TipcoChewy--300ml ,300ml,Tipco Chewy, -   ,0, -   , -   , -   , -   , -   , -   , -   , Discon , Watching , NPD , NPD , -   , -   ,0,0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,,,,,,,
,1A5BDQ00000,Shogun--300ml_SQ,Shogun--300ml_SQ,300ml,Squeeze,"263,858",0.306,"80,866","2,146","43,976","2,679","54,966","1,612","32,986", Discon , A+ , A+ , A+ , A+ , A+ ,0,0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , SIG ,15,"100,000",1,"100,000",2,12,46.6,88%,,,,,,,
,1A5BDD00000,Pomegranate--300ml_SQ,Pomegranate--300ml_SQ,300ml,Squeeze,"150,535",0.485,"73,002","1,223","25,089","1,184","24,303","1,261","25,876", Discon , C , C , C , C , C ,0,0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , SIG ,15,"100,000",1,"100,000",2,12,81.8,86%,,,,,,,
,1A5BDJ00000,FujiApple--300ml_SQ,FujiApple--300ml_SQ,300ml,Squeeze,"139,433",0.431,"60,093","1,133","23,239","1,398","28,680",867,"17,798", Discon , C , C , C , C , C ,0,0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , SIG ,15,"100,000",1,"100,000",2,12,88.3,89%,,,,,,,
